,xorg-server,is the graphical server.
,xorg-xwininfo,allows querying information about windows.
,xorg-xinit,starts the graphical server.
,xkb-switch,watches keyboard layout switch.
,sxhkd,binds key.
,ttf-inconsolata,is the monospace font of DARBS.
,ttf-linux-libertine,provides the sans and serif fonts for DARBS.
,ttf-font-awesome,provides font awesome icons.
,vifm,is an extensive terminal file manager that everyone likes.
A,lf-bin,a ranger like file manager.
,pcmanfm-gtk3,GUI file manager.
,gvfs,an auto mounting driver.
,ed,is the standard editor!
,tree,lists directory contents like trees. Used by vifm.
,arandr,is a UI for screen adjustment.
,bc,is used for a dropdown calculator.
,man,menual pages for programs.
,calcurse,is a lightweight terminal-based calendar.
,xcompmgr,is for transparency and removing screen-tearing.
,xorg-xprop,is a tool for detecting window properties.
,dosfstools,allows your computer to access dos-like filesystems.
,libnotify,allows desktop notifications.
,dunst,is a suckless notification system.
,exfat-utils,allows management of FAT drives.
,sxiv,is a minimalist image viewer.
,xwallpaper,sets the wallpaper.
,ffmpeg,can record and splice video and audio on the command line.
,gnome-keyring,serves as the system keyring.
,materia-gtk-theme,gives the dark GTK theme used in DARBS.
,neovim,an tidier vim with some useful features.
,zsh,a better shell for the current millenia.
,alacritty,a second terminal with GPU rendering.
,awesome,the basic window manager based on dwm.
,geany,GUI text editor.
,i3lock,is the screen lock.
,dmenu,is the default app runner.
,rofi,is another app runner.
,nodejs,javascript engine for dev (and nvim autocompletions).
,npm,nodejs package manager.
,ccls,language server for c/c++.
,mpd,is a lightweight music daemon.
,mpc,is a terminal interface for mpd.
,mpv,is the patrician's choice video player.
,ncmpcpp,a ncurses interface for music with multiple formats and a powerful tag editor.
,networkmanager,does exactly what it sounds like.
,newsboat,is a terminal RSS client.
,firefox,is the only program on DARBS your girlfriend has ever heard of.
,noto-fonts-emoji,goole package that gives the system unicode symbols and emojis.
,ntfs-3g,allows accessing NTFS partitions.
,pulseaudio,is the audio system.
,pulseaudio-alsa,is an audio interface with ALSA.
,pulsemixer,is an intuitive ncurses audio controller.
,imagemagick,is a terminal image-manipulator providing some convenient shortcuts and the lockscreen in DARBS.
A,sc-im,is an Excel-like terminal spreadsheet manager.
,htop,provides system usage information and displays processes.
,maim,can take quick screenshots at your request.
,socat,is a socket utility.
,tmux,is a terminal multiplexer and the dropdown window in DARBS.
,unclutter,hides an inactive mouse.
,unrar,extracts rar's.
,unzip,unzips zips.
,p7zip,unzips 7zip files.
,bat,cat with syntax highligting.
A,urlscan,parses URLs in the terminal allowing keyboard-based selection.
,w3m,is a terminal browser which can also view images.
,xcape,gives the special escape/super mappings of DARBS.
,xclip,allows for copying and pasting from the command line.
,xdotool,provides window action utilities on the command line.
,wmctrl,control windows in x server.
,numlockx,turns numlock on startup.
,xorg-xdpyinfo,aids with resolution determination and screen recording.
,youtube-dl,can download any YouTube video (or playlist or channel) when given the link.
,zathura,is a pdf viewer with vim-like bindings.
,zathura-djvu,gives zathura the ability to read .djvu files.
,zathura-pdf-mupdf,allows mupdf pdf compatibility in zathura.
,poppler,manipulates .pdfs and gives .pdf previews and other .pdf functions.
,mediainfo,shows audio and video information and is used by vifm as well.
,atool,manages and gives information about archives.
,fzf,is a fuzzy finder tool.
,highlight,can highlight code output.
,xorg-xbacklight,enables changing screen brightness levels.
A,simple-mtpfs,enables the mounting of cell phones.
G,https://gitlab.com/xdavidel/st.git,is my custom build of suckless's terminal emulator.
,docx2txt,enables .docx file previews.
,odt2txt,enables .odt file previews.
